date,universe,method,fund,return,periods_per_year
2022-04-06,Equity,Equal Weight,Equity Equal Weight,-0.0012633246356550413,252
2022-04-07,Equity,Equal Weight,Equity Equal Weight,0.0016102370143205457,252
2022-04-08,Equity,Equal Weight,Equity Equal Weight,0.003154132343436489,252
2022-04-11,Equity,Equal Weight,Equity Equal Weight,-0.011840453695113766,252
2022-04-12,Equity,Equal Weight,Equity Equal Weight,-0.0008602131354637925,252
2022-04-13,Equity,Equal Weight,Equity Equal Weight,0.009111691535789815,252
2022-04-14,Equity,Equal Weight,Equity Equal Weight,-0.002157609439999568,252
2022-04-18,Equity,Equal Weight,Equity Equal Weight,0.0008561339045568393,252
2022-04-19,Equity,Equal Weight,Equity Equal Weight,0.012514123824200304,252
2022-04-20,Equity,Equal Weight,Equity Equal Weight,0.0015008733592365075,252
2022-04-21,Equity,Equal Weight,Equity Equal Weight,-0.01236558266008561,252
2022-04-22,Equity,Equal Weight,Equity Equal Weight,-0.02310687701405426,252
2022-04-25,Equity,Equal Weight,Equity Equal Weight,-0.002562322005097424,252
2022-04-26,Equity,Equal Weight,Equity Equal Weight,-0.02058994664206025,252
2022-04-27,Equity,Equal Weight,Equity Equal Weight,0.0004532832337849474,252
2022-04-28,Equity,Equal Weight,Equity Equal Weight,0.017596976760320904,252
2022-04-29,Equity,Equal Weight,Equity Equal Weight,-0.03513723368055067,252
2022-05-02,Equity,Equal Weight,Equity Equal Weight,0.0042827520663408876,252
2022-05-03,Equity,Equal Weight,Equity Equal Weight,0.006419254004216236,252
2022-05-04,Equity,Equal Weight,Equity Equal Weight,0.03059747582803359,252
2022-05-05,Equity,Equal Weight,Equity Equal Weight,-0.025223333537134414,252
2022-05-06,Equity,Equal Weight,Equity Equal Weight,-0.0037348140552296693,252
2022-05-09,Equity,Equal Weight,Equity Equal Weight,-0.035055110842849325,252
2022-05-10,Equity,Equal Weight,Equity Equal Weight,-0.004350157266790659,252
2022-05-11,Equity,Equal Weight,Equity Equal Weight,-0.003418132781437833,252
2022-05-12,Equity,Equal Weight,Equity Equal Weight,0.002203313593436477,252
2022-05-13,Equity,Equal Weight,Equity Equal Weight,0.02229112494462501,252
2022-05-16,Equity,Equal Weight,Equity Equal Weight,0.0013181692032246063,252
2022-05-17,Equity,Equal Weight,Equity Equal Weight,0.01945053993405474,252
2022-05-18,Equity,Equal Weight,Equity Equal Weight,-0.02801387185213911,252
2022-05-19,Equity,Equal Weight,Equity Equal Weight,-0.0018228315479148118,252
2022-05-20,Equity,Equal Weight,Equity Equal Weight,0.0006859801810684976,252
