fund,universe,method,latest_rebalance_date,ticker,weight
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,TRX-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,XLM-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,XRP-USD,0.1
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,BTC-USD,0.6263695227814549
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,TRX-USD,0.2465120672461239
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,ETH-USD,0.12711840997242124
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,EOS-USD,9.122720631817688e-18
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,ETC-USD,7.046980557619224e-18
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,XLM-USD,4.338805185712004e-18
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,XRP-USD,4.000484197900691e-18
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,ADA-USD,0.0
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,BCH-USD,0.0
Crypto Minimum Variance,Crypto,Minimum Variance,2023-12-01,LTC-USD,0.0
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,BTC-USD,0.14393713866419117
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,TRX-USD,0.11212233431514142
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,ETH-USD,0.1046007283216434
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,LTC-USD,0.09707715309541794
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,ADA-USD,0.09593407806007535
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,XLM-USD,0.09168042058564281
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,BCH-USD,0.09122928398052693
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,XRP-USD,0.09091645584524329
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,EOS-USD,0.08637906791906441
Crypto Risk Parity,Crypto,Risk Parity,2023-12-01,ETC-USD,0.08612333921305335
Crypto Tangency,Crypto,Tangency,2023-12-01,ETH-USD,0.5786832897093268
Crypto Tangency,Crypto,Tangency,2023-12-01,ADA-USD,0.22176160268607992
Crypto Tangency,Crypto,Tangency,2023-12-01,TRX-USD,0.199555107604593
Crypto Tangency,Crypto,Tangency,2023-12-01,EOS-USD,1.6291594256623768e-16
Crypto Tangency,Crypto,Tangency,2023-12-01,LTC-USD,1.1200202820325293e-16
Crypto Tangency,Crypto,Tangency,2023-12-01,BCH-USD,8.820179922430033e-17
Crypto Tangency,Crypto,Tangency,2023-12-01,XLM-USD,1.7170161582374154e-17
Crypto Tangency,Crypto,Tangency,2023-12-01,BTC-USD,0.0
Crypto Tangency,Crypto,Tangency,2023-12-01,ETC-USD,0.0
Crypto Tangency,Crypto,Tangency,2023-12-01,XRP-USD,0.0
Equity Equal Weight,Equity,Equal Weight,2023-12-01,ABBV,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,ABT,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,ADBE,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,AEP,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,AMD,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,AMGN,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,AMT,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,BA,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,CAT,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,CCI,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,CMCSA,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,COP,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,CVX,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,D,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,DD,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,DIS,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,DOW,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,DUK,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,EA,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,GE,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,GILD,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,GS,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,INTC,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,KO,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,MMM,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,MRK,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,MS,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,NEE,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,NEM,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,NKE,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,NUE,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,NVDA,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,O,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,OXY,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,PLD,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,PSA,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,QCOM,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,SBUX,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,SHW,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,SLB,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,SO,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,T,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,TMUS,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,TTWO,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,UPS,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,USB,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,V,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,WFC,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,WMT,0.02
Equity Equal Weight,Equity,Equal Weight,2023-12-01,XOM,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,ABBV,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,ABT,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,ADBE,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,AEP,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,AMD,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,AMGN,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,AMT,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,BA,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,CAT,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,CCI,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,CMCSA,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,COP,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,CVX,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,D,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,DD,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,DIS,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,DOW,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,DUK,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,EA,0.02
Equity Minimum Variance,Equity,Minimum Variance,2023-12-01,GE,0.02
